lmax,ice_length_scale,ice_gmsl_target_std,net_ice_thickness_change,slc_mean,slc_std,ssh_mean,ssh_std,variance_ratio,mean_errors,standardized_errors,w2_distances,kl_divergences
64,1273600.0,0.501,-200.0,66608.84270383722,0.0010415920798161626,-47161.83857572367,0.0004818022131594747,0.21396475629409886,-113770.68127956089,-99135602.54462871,113770.68127956089,2.7880023827552216e+16
64,1273600.0,0.501,-66.66666666666666,22202.947567945663,0.0010415920798161626,-15720.61285857379,0.0004818022131594747,0.21396475629409886,-37923.560426519456,-33045200.84820884,37923.560426519456,3097780425283443.0
64,1273600.0,0.501,66.66666666666669,-22202.947567945605,0.0010415920798161626,15720.612858573935,0.0004818022131594747,0.21396475629409886,37923.56042651954,33045200.848208915,37923.56042651954,3097780425283457.5
64,1273600.0,0.501,200.0,-66608.84270383722,0.0010415920798161626,47161.83857572367,0.0004818022131594747,0.21396475629409886,113770.68127956089,99135602.54462871,113770.68127956089,2.7880023827552216e+16
64,1273600.0,0.7505,-200.0,66608.84270383722,0.001560309093616843,-47161.83857572367,0.0007217416386750053,0.21396475629408473,-113770.68127956089,-66178463.524128914,113770.68127956089,1.2424164677671688e+16
64,1273600.0,0.7505,-66.66666666666666,22202.947567945663,0.001560309093616843,-15720.61285857379,0.0007217416386750053,0.21396475629408473,-37923.560426519456,-22059487.841375817,37923.56042651946,1380462741963460.5
64,1273600.0,0.7505,66.66666666666669,-22202.947567945605,0.001560309093616843,15720.612858573935,0.0007217416386750053,0.21396475629408473,37923.56042651954,22059487.841375865,37923.56042651955,1380462741963467.0
64,1273600.0,0.7505,200.0,-66608.84270383722,0.001560309093616843,47161.83857572367,0.0007217416386750053,0.21396475629408473,113770.68127956089,66178463.524128914,113770.68127956089,1.2424164677671688e+16
64,1273600.0,1.0,-200.0,66608.84270383722,0.002079026107417469,-47161.83857572367,0.0009616810641905524,0.2139647562940962,-113770.68127956089,-49666936.87485955,113770.6812795609,6997913860739664.0
64,1273600.0,1.0,-66.66666666666666,22202.947567945663,0.002079026107417469,-15720.61285857379,0.0009616810641905524,0.2139647562940962,-37923.560426519456,-16555645.624952815,37923.56042651947,777545984526595.9
64,1273600.0,1.0,66.66666666666669,-22202.947567945605,0.002079026107417469,15720.612858573935,0.0009616810641905524,0.2139647562940962,37923.56042651954,16555645.624952855,37923.56042651956,777545984526599.5
64,1273600.0,1.0,200.0,-66608.84270383722,0.002079026107417469,47161.83857572367,0.0009616810641905524,0.2139647562940962,113770.68127956089,49666936.87485955,113770.6812795609,6997913860739664.0
84,318400.0,0.002,-200.0,50843.42860033934,3.5696883019204352e-06,-35458.81392108931,1.4356060203066624e-06,0.1617372109564072,-86302.24252142865,-22430442157.184826,86302.24252142865,1.8069395514238294e+21
84,318400.0,0.002,-66.66666666666666,16947.80953344676,3.5696883019208914e-06,-11819.604640363143,1.435606020306874e-06,0.16173721095641355,-28767.414173809906,-7476814052.394058,28767.414173809906,2.0077106126926017e+20
84,318400.0,0.002,66.66666666666669,-16947.809533446703,3.5696883019204352e-06,11819.604640363026,1.4356060203066624e-06,0.1617372109564072,28767.41417380973,7476814052.394989,28767.41417380973,2.007710612693169e+20
84,318400.0,0.002,200.0,-50843.428600339226,3.5696883019208914e-06,35458.81392108931,1.435606020306874e-06,0.16173721095641355,86302.24252142853,22430442157.18187,86302.24252142853,1.8069395514232917e+21
84,318400.0,0.2515,-200.0,50843.428600339226,0.0004488883039665635,-35458.81392108931,0.00018052745705358494,0.16173721095639731,-86302.24252142853,-178373297.47261596,86302.24252142853,1.1426879210926923e+17
84,318400.0,0.2515,-66.66666666666666,16947.80953344676,0.0004488883039665635,-11819.604640363143,0.00018052745705358494,0.16173721095639731,-28767.414173809906,-59457765.824206136,28767.41417380991,1.2696532456585824e+16
84,318400.0,0.2515,66.66666666666669,-16947.809533446703,0.0004488883039665635,11819.604640362997,0.00018052745705358494,0.16173721095639731,28767.414173809702,59457765.82420571,28767.414173809702,1.2696532456585644e+16
84,318400.0,0.2515,200.0,-50843.428600339226,0.0004488883039665635,35458.81392108931,0.00018052745705358494,0.16173721095639731,86302.24252142853,178373297.47261596,86302.24252142853,1.1426879210926923e+17
84,318400.0,0.501,-200.0,50843.428600339226,0.0008942069196312075,-35458.81392108931,0.0003596193080868739,0.1617372109564066,-86302.24252142853,-89542683.26220092,86302.24252142853,2.8795734701029424e+16
84,318400.0,0.501,-66.66666666666666,16947.80953344676,0.0008942069196311639,-11819.604640363084,0.0003596193080862168,0.16173721095583127,-28767.414173809848,-29847561.0874095,28767.41417380985,3199526077903928.0
84,318400.0,0.501,66.66666666666669,-16947.809533446703,0.0008942069196312075,11819.604640362997,0.0003596193080868739,0.1617372109564066,28767.414173809702,29847561.087400507,28767.414173809706,3199526077892202.5
84,318400.0,0.501,200.0,-50843.42860033934,0.0008942069196310729,35458.81392108931,0.00035961930808681505,0.1617372109564023,86302.24252142865,89542683.26221468,86302.24252142865,2.8795734701038936e+16
84,318400.0,0.7505,-200.0,50843.428600339226,0.0013395255352958014,-35458.81392108931,0.0005387111591201453,0.16173721095641122,-86302.24252142853,-59774662.64405626,86302.24252142853,1.2832232574585476e+16
84,318400.0,0.7505,-66.66666666666666,16947.80953344676,0.0013395255352958014,-11819.604640363143,0.0005387111591201453,0.16173721095641122,-28767.414173809906,-19924887.548019025,28767.414173809917,1425803619398427.0
