,segment,greenland_contribution,west_antarctic_contribution,east_antarctic_contribution,error
169,67.5,0.8200000000000001,0.0,0.18,3.523810187771649
170,70.0,0.8200000000000001,0.0,0.18,3.815707127041736
171,50.0,0.81,0.0,0.19,1.1050296168031044
172,52.5,0.81,0.0,0.19,1.3033703753902124
173,55.0,0.81,0.0,0.19,1.57536755670644
174,57.5,0.81,0.0,0.19,1.8751208172142706
175,60.0,0.81,0.0,0.19,2.228619176208096
176,62.5,0.81,0.0,0.19,2.621072601836271
177,65.0,0.81,0.0,0.19,3.042352855781867
178,67.5,0.81,0.0,0.19,3.4337356698193906
179,70.0,0.81,0.0,0.19,3.7243800925312636
180,50.0,0.8,0.0,0.2,1.0317958540272916
181,52.5,0.8,0.0,0.2,1.2277096590534087
182,55.0,0.8,0.0,0.2,1.4974406663702704
183,57.5,0.8,0.0,0.2,1.7953327667002832
184,60.0,0.8,0.0,0.2,2.1468070268300514
185,62.5,0.8,0.0,0.2,2.5370651362681356
186,65.0,0.8,0.0,0.2,2.9571989450879443
187,67.5,0.8,0.0,0.2,3.348382417013896
188,70.0,0.8,0.0,0.2,3.63785659226826
189,50.0,0.79,0.0,0.21,0.96257934541615
190,52.5,0.79,0.0,0.21,1.156199327952707
191,55.0,0.79,0.0,0.21,1.423788472743457
192,57.5,0.79,0.0,0.21,1.7199215072463665
193,60.0,0.79,0.0,0.21,2.069482700900501
194,62.5,0.79,0.0,0.21,2.4576659187008976
195,65.0,0.79,0.0,0.21,2.87671617089459
196,67.5,0.79,0.0,0.21,3.2677112356641467
197,70.0,0.79,0.0,0.21,3.5560793576428154
198,50.0,0.78,0.0,0.22,0.8970583641268588
199,52.5,0.78,0.0,0.22,1.0885069932762863
200,55.0,0.78,0.0,0.22,1.3540686313735972
201,57.5,0.78,0.0,0.22,1.6485365180461462
202,60.0,0.78,0.0,0.22,1.9962867854448985
203,62.5,0.78,0.0,0.22,2.3825058918087296
204,65.0,0.78,0.0,0.22,2.8005304393712076
205,67.5,0.78,0.0,0.22,3.1913471562003
206,70.0,0.78,0.0,0.22,3.478668278013219
207,50.0,0.77,0.0,0.23,0.8349446445848403
208,52.5,0.77,0.0,0.23,1.0243348363809057
209,55.0,0.77,0.0,0.23,1.2879744034157061
210,57.5,0.77,0.0,0.23,1.5808637342837886
211,60.0,0.77,0.0,0.23,1.9268972483108215
212,62.5,0.77,0.0,0.23,2.3112543821503837
213,65.0,0.77,0.0,0.23,2.7283065643951767
214,67.5,0.77,0.0,0.23,3.1189542078412593
215,70.0,0.77,0.0,0.23,3.40528277622511
216,50.0,0.76,0.0,0.24,0.7759791425447289
217,52.5,0.76,0.0,0.24,0.9634152283420888
218,55.0,0.76,0.0,0.24,1.225230143979511
219,57.5,0.76,0.0,0.24,1.5166209277279548
220,60.0,0.76,0.0,0.24,1.8610247015754735
221,62.5,0.76,0.0,0.24,2.243614236477421
222,65.0,0.76,0.0,0.24,2.6597433374842514
223,67.5,0.76,0.0,0.24,3.050230476987211
224,70.0,0.76,0.0,0.24,3.3356167992509476
225,50.0,0.75,0.0,0.25,0.7199284239179254
226,52.5,0.75,0.0,0.25,0.9055069991080681
227,55.0,0.75,0.0,0.25,1.1655874595382103
228,57.5,0.75,0.0,0.25,1.4555537723664764
229,60.0,0.75,0.0,0.25,1.7984083673708187
230,62.5,0.75,0.0,0.25,2.1793176793071343
231,65.0,0.75,0.0,0.25,2.594569328839044
232,67.5,0.75,0.0,0.25,2.9849038984317473
233,70.0,0.75,0.0,0.25,3.269394551696974
234,50.0,0.74,0.0,0.26,0.6665815762053505
235,52.5,0.74,0.0,0.26,0.8503922465779213
236,55.0,0.74,0.0,0.26,1.1088219214325017
237,57.5,0.74,0.0,0.26,1.3974324794173807
238,60.0,0.74,0.0,0.26,1.7388126275304254
239,62.5,0.74,0.0,0.26,2.1181227699851313
240,65.0,0.74,0.0,0.26,2.5325392960544475
241,67.5,0.74,0.0,0.26,2.9227286556666616
242,70.0,0.74,0.0,0.26,3.2063668467541158
243,50.0,0.73,0.0,0.27,0.6157475563785536
244,52.5,0.73,0.0,0.27,0.7978735965919763
245,55.0,0.73,0.0,0.27,1.054730243793057
246,57.5,0.73,0.0,0.27,1.3420489078509001
247,60.0,0.73,0.0,0.27,1.6820240608103296
248,62.5,0.73,0.0,0.27,2.059810360401956
249,65.0,0.73,0.0,0.27,2.473431100319747
250,67.5,0.73,0.0,0.27,2.863482089862141
251,70.0,0.73,0.0,0.27,3.1463079727983834
252,50.0,0.72,0.0,0.28,0.5672529049096823
253,52.5,0.72,0.0,0.28,0.7477718412054456
254,55.0,0.72,0.0,0.28,1.0031278510761277
255,57.5,0.72,0.0,0.28,1.2892140738290363
256,60.0,0.72,0.0,0.28,1.6278488891460532
257,62.5,0.72,0.0,0.28,2.004181472726551
258,65.0,0.72,0.0,0.28,2.4170430483640812
259,67.5,0.72,0.0,0.28,2.8069620355914604
260,70.0,0.72,0.0,0.28,3.089012992586113
261,50.0,0.71,0.0,0.29,0.520939768303186
262,52.5,0.71,0.0,0.29,0.6999238956863741
263,55.0,0.71,0.0,0.29,0.9538467738698732
264,57.5,0.71,0.0,0.29,1.2387559962571766
265,60.0,0.71,0.0,0.29,1.5761107685496767
266,62.5,0.71,0.0,0.29,1.951055031023211
267,65.0,0.71,0.0,0.29,2.363191593119065
268,67.5,0.71,0.0,0.29,2.7529845161091546
269,70.0,0.71,0.0,0.29,3.034295406933405
270,50.0,0.7,0.0,0.3,0.4766641826227371
271,52.5,0.7,0.0,0.3,0.654181025159977
272,55.0,0.7,0.0,0.3,0.9067338224235509
273,57.5,0.7,0.0,0.3,1.1905178266901049
274,60.0,0.7,0.0,0.3,1.5266488715749307
275,62.5,0.7,0.0,0.3,1.9002658922628999
276,65.0,0.7,0.0,0.3,2.3117093378581033
277,67.5,0.7,0.0,0.3,2.701381742819094
278,70.0,0.7,0.0,0.3,2.981985126755746
279,50.0,0.69,0.0,0.31,0.4342945786925037
280,52.5,0.69,0.0,0.31,0.6104073002719405
281,55.0,0.69,0.0,0.31,0.8616489960551195
282,57.5,0.69,0.0,0.31,1.144356220751795
283,60.0,0.69,0.0,0.31,1.4793162174213765
284,62.5,0.69,0.0,0.31,1.851663131618231
285,65.0,0.69,0.0,0.31,2.2624432980909037
286,67.5,0.69,0.0,0.31,2.6520003731003334
287,70.0,0.69,0.0,0.31,2.9319267070070834
288,50.0,0.6799999999999999,0.0,0.32,0.39371047627491956
289,52.5,0.6799999999999999,0.0,0.32,0.5684782480914569
290,55.0,0.6799999999999999,0.0,0.32,0.8184640936465681
291,57.5,0.6799999999999999,0.0,0.32,1.1001399154436182
292,60.0,0.6799999999999999,0.0,0.32,1.4339782131524097
