,segment,greenland_contribution,west_antarctic_contribution,east_antarctic_contribution,error
76,50.0,0.92,0.0,0.08,2.3224945288450307
77,60.0,0.92,0.0,0.08,3.5886466535112147
78,70.0,0.92,0.0,0.08,5.162670696572324
79,80.0,0.92,0.0,0.08,6.150492736878861
80,90.0,0.92,0.0,0.08,6.560478908339212
81,10.0,0.91,0.0,0.09,0.5088439170680996
82,20.0,0.91,0.0,0.09,0.7069652437031413
83,30.0,0.91,0.0,0.09,0.9146345231925084
84,40.0,0.91,0.0,0.09,1.4117011746184898
85,50.0,0.91,0.0,0.09,2.1665325212455513
86,60.0,0.91,0.0,0.09,3.4144175648307797
87,70.0,0.91,0.0,0.09,4.978412341471976
88,80.0,0.91,0.0,0.09,5.955488387141097
89,90.0,0.91,0.0,0.09,6.357091616449228
90,10.0,0.9,0.0,0.1,0.4054700428309046
91,20.0,0.9,0.0,0.1,0.6060155833780781
92,30.0,0.9,0.0,0.1,0.8120750948897149
93,40.0,0.9,0.0,0.1,1.2904781021848832
94,50.0,0.9,0.0,0.1,2.0228222330800674
95,60.0,0.9,0.0,0.1,3.2538751806535564
96,70.0,0.9,0.0,0.1,4.808628547867839
97,80.0,0.9,0.0,0.1,5.775802759046911
98,90.0,0.9,0.0,0.1,6.1696815748846685
99,10.0,0.89,0.0,0.11,0.30990987929836855
100,20.0,0.89,0.0,0.11,0.5126963949429222
101,30.0,0.89,0.0,0.11,0.7172678158482239
102,40.0,0.89,0.0,0.11,1.1784179060168785
103,50.0,0.89,0.0,0.11,1.8899745601092341
104,60.0,0.89,0.0,0.11,3.1054676976306634
105,70.0,0.89,0.0,0.11,4.651678184909067
106,80.0,0.89,0.0,0.11,5.609699010572544
107,90.0,0.89,0.0,0.11,5.996437277409227
108,10.0,0.88,0.0,0.12,0.22130976791682483
109,20.0,0.88,0.0,0.12,0.4261740389344616
110,30.0,0.88,0.0,0.12,0.6293657531859049
111,40.0,0.88,0.0,0.12,1.0745195293827687
112,50.0,0.88,0.0,0.12,1.7668027468044658
113,60.0,0.88,0.0,0.12,2.9678693612568554
114,70.0,0.88,0.0,0.12,4.506159182790698
115,80.0,0.88,0.0,0.12,5.4556933028415235
116,90.0,0.88,0.0,0.12,5.835811097156528
117,10.0,0.87,0.0,0.13,0.13893603189094367
118,20.0,0.87,0.0,0.13,0.34573204396347706
119,30.0,0.87,0.0,0.13,0.5476410104855846
120,40.0,0.87,0.0,0.13,0.9779226141314932
121,50.0,0.87,0.0,0.13,1.6522868361945602
122,60.0,0.87,0.0,0.13,2.8399407518983075
123,70.0,0.87,0.0,0.13,4.370866532698816
124,80.0,0.87,0.0,0.13,5.312510350616011
125,90.0,0.87,0.0,0.13,5.686472926304898
126,10.0,0.86,0.0,0.14,0.06215461241253547
127,20.0,0.86,0.0,0.14,0.27075122049314876
128,30.0,0.86,0.0,0.14,0.47146452446249476
129,40.0,0.86,0.0,0.14,0.8878836207816477
130,50.0,0.86,0.0,0.14,1.5455453601646856
131,60.0,0.86,0.0,0.14,2.7206971593123743
132,70.0,0.86,0.0,0.14,4.244758840851549
133,80.0,0.86,0.0,0.14,5.179048025761221
134,90.0,0.86,0.0,0.14,5.547273257897147
135,10.0,0.85,0.0,0.15,0.009585283811547279
136,20.0,0.85,0.0,0.15,0.2006936918476172
137,30.0,0.85,0.0,0.15,0.4002898413278661
138,40.0,0.85,0.0,0.15,0.8037566525266723
139,50.0,0.85,0.0,0.15,1.4458126062614605
140,60.0,0.85,0.0,0.15,2.609283186822519
141,70.0,0.85,0.0,0.15,4.126931470797173
142,80.0,0.85,0.0,0.15,5.054348933195119
143,90.0,0.85,0.0,0.15,5.4172135398843
144,10.0,0.84,0.0,0.16,0.07676441827551518
145,20.0,0.84,0.0,0.16,0.13508997083868166
146,30.0,0.84,0.0,0.16,0.3336399873358188
147,40.0,0.84,0.0,0.16,0.7249779364995759
148,50.0,0.84,0.0,0.16,1.352420220189488
149,60.0,0.84,0.0,0.16,2.5049521990039123
150,70.0,0.84,0.0,0.16,4.016594808033057
151,80.0,0.84,0.0,0.16,4.937577407893813
152,90.0,0.84,0.0,0.16,5.2954221832666954
153,10.0,0.83,0.0,0.17,0.13980430820371542
154,20.0,0.83,0.0,0.17,0.07352842521470322
155,30.0,0.83,0.0,0.17,0.2710967662462978
156,40.0,0.83,0.0,0.17,0.6510531736002161
157,50.0,0.83,0.0,0.17,1.2647822089960394
158,60.0,0.83,0.0,0.17,2.407049568363251
159,70.0,0.83,0.0,0.17,3.9130565423022348
160,80.0,0.83,0.0,0.17,4.828000763888583
161,90.0,0.83,0.0,0.17,5.181135005013531
162,10.0,0.8200000000000001,0.0,0.18,0.1990760796524817
163,20.0,0.8200000000000001,0.0,0.18,0.01564663217204697
164,30.0,0.8200000000000001,0.0,0.18,0.2122919759728711
165,40.0,0.8200000000000001,0.0,0.18,0.5815471567597398
166,50.0,0.8200000000000001,0.0,0.18,1.1823826334957181
167,60.0,0.8200000000000001,0.0,0.18,2.3149989262353534
168,70.0,0.8200000000000001,0.0,0.18,3.815707127041736
169,80.0,0.8200000000000001,0.0,0.18,4.72497390570409
170,90.0,0.8200000000000001,0.0,0.18,5.073679177970438
171,10.0,0.81,0.0,0.19,0.2549371873724227
172,20.0,0.81,0.0,0.19,0.038832645687820404
173,30.0,0.81,0.0,0.19,0.15698943522749387
