true_mean,true_std,est_mean,est_std,error_mean,error_std,ice_length_scale,ice_gmsl_target_std,net_ice_thickness_change,odt_length_scale,odt_standard_deviation,odt_standard_deviation_factor,altimetry_error_length_scale,altimetry_error_amplitude,altimetry_error_amplitude_factor,altimetry_range
0.0,0.0004995441270888469,0.0,0.0005514081013422557,0.0,0.0007440398034613669,3184000.0,0.0005,0.0,63680.0,5e-06,0.01,254720.0,0.0015811388300841897,3.1622776601683795,80
0.0,0.0004995441270888469,0.0,0.0005540813647302778,0.0,0.0007460231187103554,3184000.0,0.0005,0.0,63680.0,5e-06,0.01,254720.0,0.0015811388300841897,3.1622776601683795,75
0.0,0.0004995441270888469,0.0,0.0005580571881894363,0.0,0.0007489807475488659,3184000.0,0.0005,0.0,63680.0,5e-06,0.01,254720.0,0.0015811388300841897,3.1622776601683795,70
0.0,0.0004995441270888454,0.0,0.0005618066074387985,0.0,0.0007517785572034152,3184000.0,0.0005,0.0,63680.0,5e-06,0.01,254720.0,0.0015811388300841897,3.1622776601683795,66
0.0,0.0004995441270888469,0.0,0.0005684942521837506,0.0,0.0007567893033565682,3184000.0,0.0005,0.0,63680.0,5e-06,0.01,254720.0,0.0015811388300841897,3.1622776601683795,60
0.0,0.0004995441270888469,0.0,0.0005736954538877637,0.0,0.0007607041532162455,3184000.0,0.0005,0.0,63680.0,5e-06,0.01,254720.0,0.0015811388300841897,3.1622776601683795,55
0.0,0.0004995441270888421,0.0,0.000578284159030125,0.0,0.0007641707292837984,3184000.0,0.0005,0.0,63680.0,5e-06,0.01,254720.0,0.0015811388300841897,3.1622776601683795,50
0.0,0.0004995441270888421,0.0,0.0009551627987977141,0.0,0.0010779055186406813,3184000.0,0.0005,0.0,63680.0,5e-06,0.01,254720.0,0.005,10.0,90
0.0,0.0004995441270888469,0.0,0.0009559261250466211,0.0,0.0010785819817962872,3184000.0,0.0005,0.0,63680.0,5e-06,0.01,254720.0,0.005,10.0,85
0.0,0.0004995441270888469,0.0,0.0009589977957217834,0.0,0.0010813052793305865,3184000.0,0.0005,0.0,63680.0,5e-06,0.01,254720.0,0.005,10.0,80
0.0,0.0004995441270888469,0.0,0.000964932634956954,0.0,0.0010865722824156376,3184000.0,0.0005,0.0,63680.0,5e-06,0.01,254720.0,0.005,10.0,75
0.0,0.0004995441270888469,0.0,0.0009736209718844863,0.0,0.0010942952671935714,3184000.0,0.0005,0.0,63680.0,5e-06,0.01,254720.0,0.005,10.0,70
