odt_length_scale /,odt_amplitude_95_range /,ice_length_scale /,ice_thickness_95_range /,net_ice_thickness_change /,gmsl_slc_expectation /,gmsl_slc_std /,gmsl_ssh_expectation /,gmsl_ssh_std /,gmsl_ssh_odt_expectation /,gmsl_ssh_odt_std /,lmax /
0.4997645581541359,10.0,0.09995291163082719,100.0,200.0,-9388.311904561926,2913.0218148391027,7393.664006574274,1501.4426121928805,7393.664006574274,60099.620435272715,128.0
0.009995291163082719,0.01,0.09995291163082719,499.99999999999994,-200.0,9388.311904561926,14751.986435097473,-7393.664006574274,7372.046949738101,-7393.664006574274,7372.291769808807,128.0
0.009995291163082719,0.1,0.09995291163082719,499.99999999999994,-200.0,9388.311904561926,14751.985699750725,-7393.664006574274,7372.047489902834,-7393.664006574274,7396.48938335208,128.0
0.009995291163082719,10.0,0.09995291163082719,499.99999999999994,-200.0,9388.311904561926,14744.556823932107,-7393.664006574274,7377.501136594605,-7393.664006574274,60532.12014751452,128.0
0.4997645581541359,0.01,0.09995291163082719,499.99999999999994,-200.0,9388.311904561926,14751.986435097511,-7393.664006574274,7372.046949738101,-7393.664006574274,7372.291769808844,128.0
0.4997645581541359,0.1,0.09995291163082719,499.99999999999994,-200.0,9388.311904561926,14751.985699750667,-7393.664006574274,7372.047489902863,-7393.664006574274,7396.489383352174,128.0
0.4997645581541359,10.0,0.09995291163082719,499.99999999999994,-200.0,9388.311904561926,14744.556823932071,-7393.664006574274,7377.501136594624,-7393.664006574274,60532.12014762571,128.0
0.009995291163082719,0.01,0.09995291163082719,499.99999999999994,200.0,-9388.311904561926,14751.98643509783,7393.664006574274,7372.04694973838,7393.664006574274,7372.291769808919,128.0
0.009995291163082719,0.1,0.09995291163082719,499.99999999999994,200.0,-9388.311904561926,14751.985699750874,7393.664006574274,7372.0474899030305,7393.664006574274,7396.489383352174,128.0
0.009995291163082719,10.0,0.09995291163082719,499.99999999999994,200.0,-9388.311904561926,14744.55682393239,7393.664006574274,7377.501136594717,7393.664006574274,60532.120147514455,128.0
0.4997645581541359,0.01,0.09995291163082719,499.99999999999994,200.0,-9388.311904561926,14751.986435097846,7393.664006574274,7372.046949738362,7393.664006574274,7372.291769808938,128.0
0.4997645581541359,0.1,0.09995291163082719,499.99999999999994,200.0,-9388.311904561926,14751.985699750854,7393.664006574274,7372.047489902956,7393.664006574274,7396.489383352321,128.0
0.4997645581541359,10.0,0.09995291163082719,499.99999999999994,200.0,-9388.311904561926,14744.556823932424,7393.664006574274,7377.50113659481,7393.664006574274,60532.12014762569,128.0
0.009995291163082719,0.01,0.4997645581541359,100.0,-200.0,9388.311904561926,2950.397251369315,-7393.664006574274,1474.4094161391006,-7393.664006574274,1475.6330290576434,128.0
0.009995291163082719,0.1,0.4997645581541359,100.0,-200.0,9388.311904561926,2950.393574631841,-7393.664006574274,1474.4121169605044,-7393.664006574274,1592.1250250194396,128.0
0.009995291163082719,10.0,0.4997645581541359,100.0,-200.0,9388.311904561926,2913.0218148421623,-7393.664006574274,1501.44261219428,-7393.664006574274,60099.62043516076,128.0
0.4997645581541359,0.01,0.4997645581541359,100.0,-200.0,9388.311904561926,2950.397251369321,-7393.664006574274,1474.4094161391065,-7393.664006574274,1475.6330290576434,128.0
0.4997645581541359,0.1,0.4997645581541359,100.0,-200.0,9388.311904561926,2950.39357463185,-7393.664006574274,1474.4121169605103,-7393.664006574274,1592.1250250198661,128.0
0.4997645581541359,10.0,0.4997645581541359,100.0,-200.0,9388.311904561926,2913.0218148420327,-7393.664006574274,1501.4426121943718,-7393.664006574274,60099.6204352728,128.0
0.009995291163082719,0.01,0.4997645581541359,100.0,200.0,-9388.311904561926,2950.3972513695453,7393.664006574274,1474.4094161392288,7393.664006574274,1475.6330290577687,128.0
0.009995291163082719,0.1,0.4997645581541359,100.0,200.0,-9388.311904561926,2950.393574632042,7393.664006574274,1474.4121169605887,7393.664006574274,1592.125025019515,128.0
0.009995291163082719,10.0,0.4997645581541359,100.0,200.0,-9388.311904561926,2913.0218148423455,7393.664006574274,1501.4426121943688,7393.664006574274,60099.62043516077,128.0
0.4997645581541359,0.01,0.4997645581541359,100.0,200.0,-9388.311904561926,2950.3972513695453,7393.664006574274,1474.4094161392316,7393.664006574274,1475.6330290577687,128.0
0.4997645581541359,0.1,0.4997645581541359,100.0,200.0,-9388.311904561926,2950.393574632031,7393.664006574274,1474.412116960583,7393.664006574274,1592.1250250199362,128.0
0.4997645581541359,10.0,0.4997645581541359,100.0,200.0,-9388.311904561926,2913.0218148422305,7393.664006574274,1501.4426121944946,7393.664006574274,60099.62043527284,128.0
0.009995291163082719,0.01,0.4997645581541359,499.99999999999994,-200.0,9388.311904561926,14751.986435113675,-7393.664006574274,7372.046949746654,-7393.664006574274,7372.291769817312,128.0
0.009995291163082719,0.1,0.4997645581541359,499.99999999999994,-200.0,9388.311904561926,14751.985699766796,-7393.664006574274,7372.047489911248,-7393.664006574274,7396.489383360056,128.0
