load_radius,satellite_range,latitude,error
0.2,16.64,-77.84,2.814442450954667
0.2,17.84,-77.84,2.8027588072576104
0.2,19.04,-77.84,2.7894846718681348
0.2,20.24,-77.84,2.7814470180287545
0.2,21.45,-77.84,2.769703282909892
0.2,22.65,-77.84,2.7655077567102073
0.2,23.85,-77.84,2.765641864420065
0.2,25.05,-77.84,2.7641193373886033
0.2,26.26,-77.84,2.7645716681729686
0.2,27.46,-77.84,2.7723136095694616
0.2,28.66,-77.84,2.7788787344228236
0.2,29.86,-77.84,2.7869838547210417
0.2,31.07,-77.84,2.7957407064852418
0.2,32.27,-77.84,2.794271858471562
0.2,33.47,-77.84,2.789148205626506
0.2,34.68,-77.84,2.784537253502534
0.2,35.88,-77.84,2.780897504151578
0.2,37.08,-77.84,2.773916526108441
0.2,38.28,-77.84,2.762331666365221
0.2,39.49,-77.84,2.751525845461974
0.2,40.69,-77.84,2.738748318762885
0.2,41.89,-77.84,2.7246576633001736
0.2,43.09,-77.84,2.69735605750557
0.2,44.3,-77.84,2.6758312313927175
0.2,45.5,-77.84,2.655269488463567
0.2,46.7,-77.84,2.623472811136001
0.2,47.91,-77.84,2.5956136006760695
0.2,49.11,-77.84,2.550896398803835
0.2,50.31,-77.84,2.506799570956316
0.2,51.51,-77.84,2.441960433660273
0.2,52.72,-77.84,2.3847874425352003
0.2,53.92,-77.84,2.3193317144220345
0.2,55.12,-77.84,2.213339789189994
0.2,56.32,-77.84,2.121293681673941
0.2,57.53,-77.84,1.9811225542555504
0.2,58.73,-77.84,1.864804236929453
0.2,59.93,-77.84,1.702870008188278
0.2,61.14,-77.84,1.5757815211498143
0.2,62.34,-77.84,1.3967254284634576
0.2,63.54,-77.84,1.2525116704568047
0.2,64.74,-77.84,1.1030913388370012
0.2,65.95,-77.84,0.8873284849741908
0.2,67.15,-77.84,0.7257345819305638
0.2,68.35,-77.84,0.5144414369429232
0.2,69.55,-77.84,0.34929662174379783
0.2,70.76,-77.84,0.12025763774538262
0.2,71.96,-77.84,0.04916489791152139
0.2,73.16,-77.84,0.22880774266603768
0.2,74.36,-77.84,0.45564065227459444
0.2,75.57,-77.84,0.6158207750651989
0.2,76.77,-77.84,0.8305678242101651
0.2,77.97,-77.84,1.0355308055981647
0.2,79.18,-77.84,1.241194442029947
0.2,80.38,-77.84,1.3538249391830728
0.2,81.58,-77.84,1.448033786159599
0.2,82.78,-77.84,1.5273103016057814
0.2,83.99,-77.84,1.5671815534392022
0.2,85.19,-77.84,1.5973892578380569
0.2,86.39,-77.84,1.613023084096377
0.2,87.59,-77.84,1.6274016532231492
0.2,88.8,-77.84,1.6336124374267929
0.2,90.0,-77.84,1.6362513509645273
0.2,1.0,-75.41,3.8165339931726168
0.2,2.2,-75.41,3.830215415207925
0.2,3.41,-75.41,3.8352356833180186
0.2,4.61,-75.41,3.824914306488196
0.2,5.81,-75.41,3.8196851972204966
0.2,7.01,-75.41,3.8091876651677175
0.2,8.22,-75.41,3.803637939250678
0.2,9.42,-75.41,3.800441891716107
0.2,10.62,-75.41,3.79300887808276
0.2,11.82,-75.41,3.782619811381051
0.2,13.03,-75.41,3.761698572865644
0.2,14.23,-75.41,3.7492998615275623
0.2,15.43,-75.41,3.7330096738925236
0.2,16.64,-75.41,3.715562401217399
0.2,17.84,-75.41,3.7030907495041747
0.2,19.04,-75.41,3.6883783109054638
0.2,20.24,-75.41,3.679409463824009
0.2,21.45,-75.41,3.66599032250901
0.2,22.65,-75.41,3.6602466092615202
0.2,23.85,-75.41,3.658393925471732
0.2,25.05,-75.41,3.6549938538920888
0.2,26.26,-75.41,3.6538543713574922
0.2,27.46,-75.41,3.658969962455629
0.2,28.66,-75.41,3.663628514908043
0.2,29.86,-75.41,3.66865015064222
0.2,31.07,-75.41,3.6746058312294814
0.2,32.27,-75.41,3.6694459984064896
0.2,33.47,-75.41,3.6609838406246715
0.2,34.68,-75.41,3.651754234209862
0.2,35.88,-75.41,3.644595378577308
0.2,37.08,-75.41,3.633884330576102
0.2,38.28,-75.41,3.616638676172187
0.2,39.49,-75.41,3.6009068454460973
0.2,40.69,-75.41,3.5815232246614426
0.2,41.89,-75.41,3.561880492043626
0.2,43.09,-75.41,3.52721311835125
0.2,44.3,-75.41,3.5001835791276084
0.2,45.5,-75.41,3.4737712343739893
0.2,46.7,-75.41,3.4331348556399286
0.2,47.91,-75.41,3.3977813273938597
0.2,49.11,-75.41,3.342992663078112
0.2,50.31,-75.41,3.2904651399271305
0.2,51.51,-75.41,3.2141756167495736
0.2,52.72,-75.41,3.148319384460952
0.2,53.92,-75.41,3.073712960231755
0.2,55.12,-75.41,2.9540245509225556
0.2,56.32,-75.41,2.8502783117411257
0.2,57.53,-75.41,2.6941393021871756
0.2,58.73,-75.41,2.5642439401734594
0.2,59.93,-75.41,2.3834701119203
0.2,61.14,-75.41,2.2415741361201365
0.2,62.34,-75.41,2.0397756032283474
0.2,63.54,-75.41,1.877719634128525
0.2,64.74,-75.41,1.7069121364049051
0.2,65.95,-75.41,1.4603645920107193
0.2,67.15,-75.41,1.2742354698406668
0.2,68.35,-75.41,1.0316853499528877
0.2,69.55,-75.41,0.8423577103331836
0.2,70.76,-75.41,0.5778897563540935
0.2,71.96,-75.41,0.3817627212351988
0.2,73.16,-75.41,0.16513366254133935
0.2,74.36,-75.41,0.12313910562768833
0.2,75.57,-75.41,0.38688621020069014
0.2,76.77,-75.41,0.6269801911673951
0.2,77.97,-75.41,0.7472425963713896
0.2,79.18,-75.41,0.8721778278157404
0.2,80.38,-75.41,0.9519644065358441
