odt_length_scale,odt_amplitude_95_range,ice_length_scale,ice_thickness_95_range,net_ice_thickness_change,gmsl_slc_expectation,gmsl_slc_std,gmsl_ssh_expectation,gmsl_ssh_std,gmsl_ssh_odt_expectation,gmsl_ssh_odt_std,lmax
0.49976455815413595,0.1,0.0999529116308272,100,200.0,-9388.31190456124,0.000463097406157387,7393.664006573352,0.00023142554025409466,7393.664006573352,0.0002499019031577847,128.0
0.49976455815413595,10.0,0.0999529116308272,100,200.0,-9388.31190456124,0.0004572314887519877,7393.664006573352,0.00023566828004909212,7393.664006573352,0.009433310380673906,128.0
0.009995291163082719,0.01,0.0999529116308272,500,-200.0,9388.311904561357,0.0023154899442943116,-7393.6640065732645,0.0011571255611055877,-7393.6640065732645,0.0011571639883650893,128.0
0.009995291163082719,0.1,0.0999529116308272,500,-200.0,9388.311904561182,0.002315489828875915,-7393.664006573439,0.0011571256458821437,-7393.664006573439,0.001160962075555474,128.0
0.009995291163082719,10.0,0.0999529116308272,500,-200.0,9388.31190456124,0.002314323783382778,-7393.664006573352,0.0011579816569760404,-7393.664006573352,0.009501196067731258,128.0
0.49976455815413595,0.01,0.0999529116308272,500,-200.0,9388.31190456124,0.0023154899442939868,-7393.664006573352,0.001157125561095256,-7393.664006573352,0.0011571639883548458,128.0
0.49976455815413595,0.1,0.0999529116308272,500,-200.0,9388.31190456124,0.002315489828873044,-7393.664006573352,0.0011571256458801818,-7393.664006573352,0.00116096207555359,128.0
0.49976455815413595,10.0,0.0999529116308272,500,-200.0,9388.31190456124,0.002314323783382775,-7393.664006573352,0.0011579816569760595,-7393.664006573352,0.009501196067748604,128.0
0.009995291163082719,0.01,0.0999529116308272,500,200.0,-9388.31190456124,0.002315489944294019,7393.664006573352,0.001157125561095259,7393.664006573352,0.0011571639883548766,128.0
0.009995291163082719,0.1,0.0999529116308272,500,200.0,-9388.31190456124,0.0023154898288730704,7393.664006573352,0.0011571256458801818,7393.664006573352,0.0011609620755536033,128.0
0.009995291163082719,10.0,0.0999529116308272,500,200.0,-9388.31190456124,0.0023143237833828044,7393.664006573352,0.001157981656976058,7393.664006573352,0.009501196067731256,128.0
0.49976455815413595,0.01,0.0999529116308272,500,200.0,-9388.31190456124,0.002315489944294019,7393.664006573352,0.001157125561095259,7393.664006573352,0.0011571639883548707,128.0
0.49976455815413595,0.1,0.0999529116308272,500,200.0,-9388.31190456124,0.0023154898288730735,7393.664006573352,0.0011571256458801818,7393.664006573352,0.0011609620755536148,128.0
