length_scale,satellite_range,error,true_mean,estimate,num_error
0.005,10.89,275.5719617262813,6.741632561330509e-14,-1.183641654030572e-13,-1.8578049101636227e-13
0.005,20.78,273.55116229665435,6.741632561330509e-14,-1.1700181667958808e-13,-1.8441814229289315e-13
0.1,50.44,270.4274863435904,-1.361554785210658e-13,2.3204635956253955e-13,3.6820183808360534e-13
0.1,60.33,265.4394662423307,-1.361554785210658e-13,2.252548969249425e-13,3.6141037544600826e-13
0.1,70.22,257.84090872228643,-1.361554785210658e-13,2.1490904457282776e-13,3.5106452309389355e-13
0.005,1.0,255.75071896727297,6.741632561330509e-14,-1.0500141184404049e-13,-1.7241773745734556e-13
0.1,40.56,254.32896759144327,-1.361554785210658e-13,2.1012734432075015e-13,3.4628282284181594e-13
0.1,10.89,240.57829564525701,-1.361554785210658e-13,1.9140505113255827e-13,3.275605296536241e-13
0.1,30.67,237.81594495197564,-1.361554785210658e-13,1.8764395932769102e-13,3.237994378487568e-13
0.1,20.78,235.32715667660412,-1.361554785210658e-13,1.842553377419828e-13,3.204108162630486e-13
0.1,50.44,229.30678510079815,1.0142410047976297e-13,-1.3114824364778468e-13,-2.3257234412754765e-13
0.1,40.56,228.6789061104733,1.0142410047976297e-13,-1.3051142302974626e-13,-2.3193552350950925e-13
0.1,30.67,226.85684315112286,1.0142410047976297e-13,-1.2866341206305013e-13,-2.300875125428131e-13
0.1,10.89,225.71953965726345,8.120869550688712e-14,2.645125891667015e-13,1.833038936598144e-13
0.1,1.0,223.89241015499948,8.120869550688712e-14,2.630288011326915e-13,1.8182010562580437e-13
0.1,1.0,223.7496210231279,-1.361554785210658e-13,1.6849188867204523e-13,3.04647367193111e-13
0.005,50.44,223.31151645744353,3.073754611804685e-13,9.937802647606333e-13,6.864048035801648e-13
0.005,60.33,223.0254331478365,3.073754611804685e-13,9.929009148683684e-13,6.855254536879e-13
0.1,20.78,221.9318897571368,1.0142410047976297e-13,-1.2366832238415222e-13,-2.2509242286391519e-13
0.1,10.89,220.14491452616176,1.0142410047976297e-13,-1.2185589883033963e-13,-2.232799993101026e-13
0.005,40.56,216.45119540276693,3.073754611804685e-13,9.726933212803603e-13,6.653178600998918e-13
0.1,60.33,216.06435005025878,1.0142410047976297e-13,-1.177172230161583e-13,-2.1914132349592127e-13
0.1,60.33,208.1883767699832,-2.2629548392711063e-13,2.448254107645192e-13,4.711208946916298e-13
0.1,1.0,207.84414605738576,1.0142410047976297e-13,-1.0937995505878526e-13,-2.1080405553854823e-13
0.1,20.78,206.52457037828825,8.120869550688712e-14,2.48924605012298e-13,1.6771590950541088e-13
0.005,30.67,205.30022378193104,3.073754611804685e-13,9.384179708347128e-13,6.310425096542444e-13
0.005,10.89,201.4055909632647,3.073754611804685e-13,9.264468252470513e-13,6.190713640665828e-13
0.005,1.0,201.27855879129822,3.073754611804685e-13,9.260563595226219e-13,6.186808983421534e-13
0.1,70.22,201.12002775877536,1.0142410047976297e-13,-1.0256007855922455e-13,-2.0398417903898752e-13
0.005,20.78,201.0536554662464,3.073754611804685e-13,9.253650618900336e-13,6.179896007095651e-13
0.1,70.22,199.27720728807702,-2.2629548392711063e-13,2.2465983666187465e-13,4.509553205889853e-13
0.1,50.44,193.043134890317,-2.2629548392711063e-13,2.105524123609971e-13,4.3684789628810773e-13
0.1,90.0,191.90011462267148,1.0142410047976297e-13,-9.320886459591564e-14,-1.946329650756786e-13
0.1,80.11,187.2194981272441,1.0142410047976297e-13,-8.846159141852103e-14,-1.89885691898284e-13
0.1,30.67,187.0943764165777,8.120869550688712e-14,2.331455979615349e-13,1.519369024546478e-13
0.1,40.56,186.609393398734,8.120869550688712e-14,2.3275174957931413e-13,1.5154305407242702e-13
0.1,90.0,184.1288521198734,8.120869550688712e-14,2.3073733436524156e-13,1.4952863885835445e-13
0.005,90.0,183.14264186157965,-3.0529192615151504e-13,-8.644116250955024e-13,-5.591196989439874e-13
0.1,50.44,183.08588943739005,8.120869550688712e-14,2.298903579761732e-13,1.486816624692861e-13
0.005,80.11,182.47905081254981,-3.0529192615151504e-13,-8.623857352001502e-13,-5.570938090486351e-13
0.005,70.22,179.8811677262518,3.073754611804685e-13,8.602860300558469e-13,5.529105688753785e-13
0.1,90.0,179.81909911039196,-2.2629548392711063e-13,1.8062701659812155e-13,4.069225005252322e-13
0.005,1.0,177.30278441157563,7.430336896372538e-14,-5.743857312056625e-14,-1.317419420842916e-13
0.005,60.33,176.4122660747828,-3.0529192615151504e-13,-8.438643312187551e-13,-5.385724050672401e-13
0.1,80.11,174.29232250895254,-2.2629548392711063e-13,1.6812017074232392e-13,3.944156546694345e-13
0.005,10.89,174.00664504411174,7.430336896372538e-14,-5.4989430524800915e-14,-1.292927994885263e-13
0.005,70.22,171.72800690570466,-3.0529192615151504e-13,-8.295636661755475e-13,-5.242717400240325e-13
0.1,40.56,171.5085541035693,-2.2629548392711063e-13,1.6182062855795188e-13,3.8811611248506253e-13
0.005,20.78,169.6765394759519,7.430336896372538e-14,-5.177201620797231e-14,-1.2607538517169768e-13
0.005,50.44,165.28378771695003,-3.0529192615151504e-13,-8.098899852887729e-13,-5.04598059137258e-13
0.1,60.33,165.08617953549475,8.120869550688712e-14,2.1527302836982007e-13,1.3406433286293294e-13
0.005,80.11,164.79037412501353,3.073754611804685e-13,8.139006336282483e-13,5.065251724477798e-13
0.005,90.0,164.61399044065254,3.073754611804685e-13,8.133584734649966e-13,5.059830122845281e-13
0.1,80.11,163.30152526734173,8.120869550688712e-14,2.1382373391934498e-13,1.3261503841245787e-13
0.1,60.33,156.81013752754274,-2.3245658379908953e-13,1.3205890494809039e-13,3.645154887471799e-13
0.1,60.33,155.23392856762317,3.3082639479657063e-13,8.443812041779221e-13,5.135548093813515e-13
0.1,50.44,154.1227475976739,3.3082639479657063e-13,8.407051242353734e-13,5.098787294388027e-13
0.005,90.0,152.8643627209765,2.1598003618141495e-14,5.4613654209466935e-14,3.301565059132544e-14
0.1,70.22,150.78257184320282,-2.3245658379908953e-13,1.1804743167202758e-13,3.505040154711171e-13
0.1,30.67,150.1541880242322,-2.2629548392711063e-13,1.1349666249914924e-13,3.3979214642625986e-13
0.1,40.56,147.85584320236973,3.3082639479657063e-13,8.199725503590408e-13,4.891461555624701e-13
0.005,40.56,147.18469411591863,-3.0529192615151504e-13,-7.546349138182186e-13,-4.493429876667036e-13
0.005,30.67,144.37822030416888,7.430336896372538e-14,-3.2974512772141483e-14,-1.0727788173586687e-13
0.1,50.44,144.36752910422607,-2.3245658379908953e-13,1.0313524247175072e-13,3.3559182627084026e-13
0.1,70.22,141.98511314193232,-2.3258021369803867e-13,9.764906586686947e-14,3.302292795649081e-13
0.1,60.33,141.84515126524164,3.5179547738613923e-13,-1.4720934965650895e-13,-4.990048270426482e-13
0.005,50.44,141.472524384985,-1.903602254404166e-13,-4.596676417959224e-13,-2.693074163555058e-13
0.1,30.67,140.96068200966116,3.3082639479657063e-13,7.971615371697907e-13,4.663351423732201e-13
0.1,80.11,140.38946162351567,-2.3245658379908953e-13,9.388796270486886e-14,3.263445465039584e-13
0.1,50.44,139.875871418055,3.5179547738613923e-13,-1.4028151221702956e-13,-4.920769896031688e-13
0.1,70.22,139.28512303698548,3.3082639479657063e-13,7.916183458277974e-13,4.607919510312268e-13
0.1,90.0,138.86759966138408,-2.3245658379908953e-13,9.035029437755995e-14,3.228068781766495e-13
0.1,70.22,138.51181967340509,3.5179547738613923e-13,-1.3548283987014452e-13,-4.872783172562837e-13
0.005,70.22,138.15360547355144,-2.215095027143373e-13,-5.275328671807285e-13,-3.0602336446639125e-13
0.005,10.89,136.88769139038055,-2.261161248250455e-13,-5.356412679594415e-13,-3.09525143134396e-13
0.005,40.56,136.53589109847422,-1.903602254404166e-13,-4.5027025554255384e-13,-2.599100301021372e-13
0.1,90.0,135.34333508500697,3.5179547738613923e-13,-1.2433625438648316e-13,-4.761317317726223e-13
0.005,90.0,135.16622078353237,-2.215095027143373e-13,-5.209155262097031e-13,-2.994060234953658e-13
0.005,70.22,134.69848163013788,7.430336896372538e-14,1.7438887875790256e-13,1.0008550979417718e-13
0.005,60.33,134.46558275935678,-1.903602254404166e-13,-4.4632921192089807e-13,-2.559689864804815e-13
0.1,80.11,134.4490309802407,-9.533610109938582e-14,-2.2351456520185265e-13,-1.2817846410246684e-13
0.1,20.78,134.3208185162891,-2.2629548392711063e-13,7.76664623491818e-14,3.0396194627629245e-13
0.005,1.0,133.91363413688316,-2.261161248250455e-13,-5.28916444947755e-13,-3.028003201227095e-13
0.1,90.0,133.54981998637527,-9.533610109938582e-14,-2.2265729249964434e-13,-1.273211914002585e-13
0.005,30.67,132.89411370262894,-1.903602254404166e-13,-4.4333775988178457e-13,-2.52977534441368e-13
0.005,20.78,132.22156142972176,-2.261161248250455e-13,-5.250903957130994e-13,-2.989742708880539e-13
0.005,80.11,131.91530800464722,-1.3592128628178833e-13,4.337969716071106e-14,1.7930098344249938e-13
